q,I_q
0.001,1.0
0.002,0.52
0.005,0.21
0.01,0.105
0.02,0.052
0.03,0.031
0.04,0.021
0.05,0.015
0.06,0.0105
0.07,0.0082
0.08,0.0062
0.09,0.0052
0.1,0.0042
0.2,0.0022
0.3,0.0012
