q,I_q
0.001,1.0
0.002,0.55
0.005,0.22
0.01,0.11
0.02,0.055
0.03,0.032
0.04,0.022
0.05,0.016
0.06,0.011
0.07,0.0085
0.08,0.0065
0.09,0.0055
0.1,0.0045
0.2,0.0025
0.3,0.0015
